,cabo delgado,cidade de maputo,estrangeiro,gaza,inhambane,manica,nampula,niassa,provincia de maputo,sofala,tete,zambezia
1,0,0,0,0,0,0,0,0,0,0,0,0
0,232,53,0,0,5,2,15,4,40,1,3,2
0,14,9003,0,72,73,14,23,10,3116,26,36,17
0,2,48,0,1,2,0,0,0,65,0,0,1
0,0,302,0,1295,17,6,5,2,352,8,3,1
0,9,332,1,40,1111,6,4,2,421,11,8,9
0,3,75,0,4,8,327,11,5,66,19,17,6
0,29,173,0,6,10,9,659,24,100,16,8,12
0,6,40,0,3,3,2,24,169,29,4,1,5
0,2,493,0,36,31,8,10,4,4935,9,11,9
0,8,158,0,9,15,51,17,7,128,545,32,15
0,2,40,0,0,3,5,5,1,41,2,216,2
0,8,240,0,12,15,21,58,10,182,27,17,659
